Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cardio,2022-07-25 12:21:01,false,"Cardio","0.00","209","00:31:54","119","156","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","31:54.26.4","1","0.0","00:00:00","00:31:54","232","232"
Cycling,2022-07-23 08:56:06,false,"Folsom Cycling","38.56","1,502","03:09:41","142","180","0","0","12.2","21.9","518","574","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:10.10.8","8","0.0","02:52:48","03:09:41","24","194"
Cardio,2022-07-22 11:34:39,false,"Cardio","0.00","273","00:31:51","136","166","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","31:50.83.7","1","0.0","00:00:00","00:31:51","232","241"
Cardio,2022-07-21 11:37:11,false,"Cardio","0.00","247","00:27:39","140","176","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","27:39.16.7","1","0.0","00:00:00","00:27:39","184","184"
Cycling,2022-07-20 08:23:24,false,"Folsom Cycling","10.59","507","00:52:04","150","180","0","0","12.2","24.9","492","692","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:39.15.4","3","0.0","00:49:43","00:52:04","131","465"
Cardio,2022-07-19 11:59:36,false,"Cardio","0.00","248","00:26:47","143","166","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","26:47.34","1","0.0","00:00:00","00:26:47","556","556"
Walking,2022-07-15 08:16:39,false,"El Dorado County Walking","4.57","537","01:49:40","115","157","88","249","24:01","11:35","571","548","0.77","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","14:58.32.2","5","0.0","01:38:58","01:49:40","6,525","6,922"
Walking,2022-07-14 09:35:47,false,"El Dorado County Walking","3.03","324","01:07:35","115","147","82","216","22:18","1:53","226","138","0.88","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.81.1","4","0.0","00:59:59","01:07:35","6,272","6,346"
Cardio,2022-07-12 11:40:09,false,"Cardio","0.00","264","00:26:20","147","177","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","26:20.33.3","1","0.0","00:00:00","00:26:20","493","493"
Walking,2022-07-10 08:11:46,false,"Folsom Walking","1.75","275","00:27:09","150","185","139","178","15:33","2:58","82","75","0.74","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","13:27.30.4","2","0.0","00:23:51","00:27:09","289","362"
Cardio,2022-07-08 12:11:35,false,"Cardio","0.00","287","00:30:27","144","167","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","30:27.02","1","0.0","00:00:00","00:30:27","329","343"
Cardio,2022-07-07 12:18:15,false,"Cardio","0.00","212","00:28:44","127","162","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","28:44.31.7","1","0.0","00:00:00","00:28:44","312","325"
Cardio,2022-07-06 12:21:48,false,"Cardio","0.00","202","00:21:17","142","162","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","21:16.81","1","0.0","00:00:00","00:21:17","305","314"
Walking,2022-07-03 08:18:03,false,"Placer County Walking","4.45","755","02:39:19","119","154","57","209","35:49","17:44","305","1,355","0.79","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","17:00.84.1","5","0.0","01:57:25","02:39:19","5,726","6,799"
Walking,2022-07-02 13:29:17,false,"Placer County Walking","2.20","549","01:09:17","138","156","69","224","31:29","20:41","328","167","0.74","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","07:32.66.2","3","0.0","00:59:26","01:09:17","6,745","6,914"
Walking,2022-07-02 10:12:10,false,"Placer County Walking","4.05","1,126","02:42:11","139","166","60","243","40:02","16:37","1,509","390","0.68","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:36.57.6","5","0.0","01:53:00","02:42:11","5,787","6,791"
Cardio,2022-06-29 12:15:50,false,"Cardio","0.00","279","00:30:38","139","163","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","30:38.19.3","1","0.0","00:00:00","00:30:38","223","223"
Walking,2022-06-29 06:50:07,false,"Folsom Walking","1.36","227","00:29:46","128","151","99","244","21:48","8:56","56","256","0.75","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:27.60.2","2","0.0","00:21:47","00:29:46","215","260"
Cardio,2022-06-28 12:19:15,false,"Cardio","0.00","180","00:20:51","134","162","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","20:51.07.4","1","0.0","00:00:00","00:20:51","403","403"
Cardio,2022-06-27 08:51:33,false,"Cardio","0.00","260","00:30:21","134","158","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","30:20.70.7","1","0.0","00:00:00","00:30:21","383","383"
Walking,2022-06-26 09:13:10,false,"Placer County Walking","3.01","330","01:15:05","110","127","78","239","24:57","4:10","66","699","0.83","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:05.42.6","4","0.0","01:00:23","01:40:53","278","832"
Walking,2022-06-20 15:30:17,false,"El Dorado County Walking","2.63","333","01:13:06","112","147","78","168","27:46","1:32","253","217","0.75","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","16:37.08.5","3","0.0","00:59:11","01:13:06","6,255","6,396"
Cycling,2022-06-19 11:31:00,false,"El Dorado County Cycling","8.08","948","02:05:07","146","178","0","0","3.9","22.1","1,437","1,352","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","24:22.70.3","2","0.0","01:28:16","02:05:07","6,360","7,666"
