Year_Week,Year,Week,Is Weekend,Day Of Week,Date,Program,Workout,Activity Type,Description,Time (m),Instructor
2021_47,2021,47,FALSE,3,11/16/2021,9 Week Control Freak,Phase 1 Week 1 Workout 1,Cardio,Back & Biceps,32,Autumn
2021_49,2021,49,TRUE,1,11/28/2021,9 Week Control Freak,Phase 1 Week 2 Workout 1,Cardio,Back & Biceps,32,Autumn
2021_51,2021,51,FALSE,2,12/13/2021,9 Week Control Freak,Phase 1 Week 3 Workout 2,Cardio,Chest & Triceps,32,Autumn
2022_3,2022,3,FALSE,4,1/12/2022,9 Week Control Freak,Phase 2 Week 1 Workout 2,Cardio,Shoulders,32,Autumn
2022_5,2022,5,FALSE,3,1/25/2022,9 Week Control Freak,Phase 2 Week 2 Workout 2,Cardio,Shoulders,32,Autumn
2022_7,2022,7,FALSE,2,2/7/2022,9 Week Control Freak,Phase 2 Week 3 Workout 2,Cardio,Shoulders,32,Autumn
2022_7,2022,7,FALSE,3,2/8/2022,9 Week Control Freak,Phase 2 Week 3 Workout 3,Cardio,Biceps & Triceps,32,Autumn
2022_7,2022,7,FALSE,5,2/10/2022,9 Week Control Freak,Phase 2 Week 3 Workout 4,Cardio,Total Body Tone,32,Autumn
2022_14,2022,14,FALSE,2,3/28/2022,9 Week Control Freak,Phase 3 Week 3 Workout 1,Cardio,Back & Legs,32,Autumn
2022_14,2022,14,TRUE,1,3/27/2022,9 Week Control Freak,Phase 1 Week 1 Workout 2,Cardio,Chest & Triceps,32,Autumn
2022_13,2022,13,TRUE,7,3/26/2022,9 Week Control Freak,Phase 1 Week 1 Workout 1,Cardio,Back & Biceps,32,Autumn
2022_22,2022,22,FALSE,4,5/25/2022,9 Week Control Freak,Phase 1 Week 2 Workout 2,Cardio,Chest & Triceps,32,Autumn
2022_25,2022,25,FALSE,3,6/14/2022,9 Week Control Freak,Phase 1 week 3,Cardio,Chest & Triceps,32,Autumn
2022_27,2022,27,FALSE,4,6/29/2022,9 Week Control Freak,Phase 2 Week 2,Cardio,Shoulders,32,Autumn
2022_33,2022,33,FALSE,2,8/8/2022,21 Day Fix Real Time,Day 2,Cardio,Lower Fix,32,Autumn
2022_36,2022,36,FALSE,3,8/30/2022,9 Week Control Freak,Phase 1 Week 1,Cardio,Chest & Tricepts,32,Autumn
2021_50,2021,50,FALSE,4,12/8/2021,9 Week Control Freak,Phase 1 Week 3 Workout 1,Cardio,Back & Biceps,33,Autumn
2022_4,2022,4,TRUE,1,1/16/2022,9 Week Control Freak,Phase 2 Week 1 Workout 3,Cardio,Biceps & Triceps,33,Autumn
2022_4,2022,4,FALSE,2,1/17/2022,9 Week Control Freak,Phase 2 Week 1 Workout 4,Cardio,Total Body Tone,33,Autumn
2022_4,2022,4,FALSE,4,1/19/2022,9 Week Control Freak,Phase 2 Week 1 Workout 5,Cardio,Back & Chest,33,Autumn
2022_5,2022,5,FALSE,4,1/26/2022,9 Week Control Freak,Phase 2 Week 2 Workout 3,Cardio,Biceps & Triceps,33,Autumn
2022_5,2022,5,FALSE,5,1/27/2022,9 Week Control Freak,Phase 2 Week 2 Workout 4,Cardio,Total Body Tone,33,Autumn
2022_6,2022,6,FALSE,2,1/31/2022,9 Week Control Freak,Phase 2 Week 2 Workout 5,Cardio,Back & Chest,33,Autumn
2022_8,2022,8,FALSE,2,2/14/2022,9 Week Control Freak,Phase 2 Week 3 Workout 5,Cardio,Back & Chest,33,Autumn
2022_8,2022,8,FALSE,3,2/15/2022,9 Week Control Freak,Phase 3 Week 1 Workout 1,Cardio,Back & Legs,33,Autumn
2022_12,2022,12,FALSE,5,3/17/2022,9 Week Control Freak,Phase 3 Week 2,Cardio,Back & Legs,33,Autumn
2022_13,2022,13,FALSE,3,3/22/2022,9 Week Control Freak,Phase 3 Week 2 Workout 4,Cardio,Chest & Triceps,33,Autumn
2022_24,2022,24,FALSE,3,6/7/2022,9 Week Control Freak,Phase 1 Week 3,Cardio,Back & Biceps,33,Autumn
2022_28,2022,28,FALSE,5,7/7/2022,Barre Blend,Week 1,Cardio,Classic Full Body Blend,33,Elise
2022_31,2022,31,FALSE,2,7/25/2022,9 Week Control Freak,Phase 2 Week 2,Cardio,Total Body Tone,33,Autumn
2022_32,2022,32,FALSE,3,8/2/2022,9 Week Control Freak,Phase 2 Week 1,Cardio,Back & Chest,33,Autumn
2022_35,2022,35,FALSE,5,8/25/2022,9 Week Control Freak,Phase 1 Week 1,Cardio,Back & Bicepts,33,Autumn
2022_37,2022,37,FALSE,6,9/9/2022,21 Day Fix Extreme Real Time,Day 3,Cardio,Pilates,33,Autumn
2022_28,2022,28,FALSE,6,7/8/2022,Barre Blend,Week 1,Cardio,Cardio Blend,34,Elise
2022_33,2022,33,FALSE,3,8/9/2022,21 Day Fix Real Time,Day 3,Cardio,Upper Fix,34,Autumn
2021_41,2021,41,FALSE,5,10/7/2021,80 day obsession,Day 76,Cardio,Cardio Flow,36,Autumn
2022_2,2022,2,FALSE,2,1/3/2022,3-Day Yoga Refresh,Day 3,Yoga,Deep Focus,36,Vitas
2022_10,2022,10,FALSE,4,3/2/2022,3-Day Yoga Refresh,Day 3,Yoga,Deep Focus,36,Vitas
2022_24,2022,24,TRUE,1,6/5/2022,P90x3,,Cardio,Triometrics,36,Tony Horton
2022_32,2022,32,FALSE,2,8/1/2022,3-Day Yoga Refresh,Chill Flow,Yoga,Yoga,38,Elise
2022_36,2022,36,FALSE,6,9/2/2022,21 Day Fix Extreme Real Time,Day 2,Cardio,Upper Fix Extreme,40,Autumn
2021_44,2021,44,FALSE,6,10/29/2021,80 day obsession,Day 79,Cardio,Cardio Core,41,Autumn
2021_42,2021,42,FALSE,4,10/13/2021,Yoga Studio,Yoga,Yoga,Half & Half,43,Jericho
2021_42,2021,42,FALSE,6,10/15/2021,Yoga Studio,Yoga,Yoga,Half & Half Harder,43,Jericho
2021_41,2021,41,FALSE,2,10/4/2021,80 day obsession,Day 75,Cardio,AAA,52,Autumn
2021_42,2021,42,FALSE,5,10/14/2021,80 day obsession,Day 77,Cardio,Legs,52,Autumn
2021_43,2021,43,FALSE,3,10/19/2021,80 day obsession,Day 78,Cardio,Total Body Core,55,Autumn
2021_45,2021,45,FALSE,4,11/3/2021,80 day obsession,Day 80,Cardio,Booty,61,Autumn
